Pod number,Test Users,Avg Response Time (ms),Requests,Fail,Fail Rate,95%ile (ms),99%ile (ms)
1,20,345.25,1856,6,0%,1600,3000
1,30,664.18,2298,11,0%,2100,5400
1,35,796.5,2480,15,0%,2400,7600
1,40,1139.66,2413,33,1%,2900,21000
2,40,1188.54,2391,14,0%,3000,5000
2,30,900.64,2377,16,0%,2300,7800
2,50,1612.55,2408,11,0%,4300,5200
2,60,2076.46,2501,14,0%,5600,6300
2,70,2754.19,2438,10,0%,7500,8900
2,80,3378.76,2409,21,0%,9200,10000
2,90,3809.77,2487,20,0%,11000,12000
2,100,4363.53,2485,24,0%,11000,13000
2,110,4813.2,2538,24,0%,12000,15000
4,70,2604.25,2527,4,0%,7400,8300
4,80,3244.43,2490,13,0%,8800,10000
4,90,3628.04,2584,8,0%,10000,11000
8,80,3255.71,2487,24,0%,8900,10000
8,90,3509.26,2640,0,0%,10000,11000
